DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2026-09-20,KT_AI,230,15,215,6.5%,230,0,100.0%,0,230,0%,230,0,100.0%,68.8%
2026-09-20,KT_AR,263,31,232,11.8%,263,0,100.0%,0,263,0%,263,0,100.0%,70.6%
2026-09-20,KT_AG,969,969,0,100.0%,969,0,100.0%,0,969,0%,51,918,5.3%,68.4%
2026-09-20,KT_BL,1412,0,1412,0%,205,1207,14.5%,7,1405,0.5%,0,1412,0%,7.5%
2026-09-20,KT_BS,2338,744,1594,31.8%,756,1582,32.3%,775,1563,33.1%,605,1733,25.9%,30.8%
2026-09-20,KT_BE,1462,0,1462,0%,1421,41,97.2%,1339,123,91.6%,91,1371,6.2%,65.0%
2026-09-20,KT_GL,440,0,440,0%,0,440,0%,0,440,0%,0,440,0%,0%
2026-09-20,KT_GR,2025,5,2020,0.2%,314,1711,15.5%,0,2025,0%,1578,447,77.9%,31.2%
2026-09-20,KT_JU,1594,0,1594,0%,175,1419,11.0%,24,1570,1.5%,1395,199,87.5%,33.3%
2026-09-20,KT_SG,608,0,608,0%,391,217,64.3%,118,490,19.4%,13,595,2.1%,28.6%
2026-09-20,KT_SH,236,207,29,87.7%,200,36,84.7%,0,236,0%,211,25,89.4%,87.3%
2026-09-20,KT_SO,786,0,786,0%,0,786,0%,0,786,0%,0,786,0%,0%
2026-09-20,KT_SZ,2206,0,2206,0%,2125,81,96.3%,1033,1173,46.8%,2156,50,97.7%,80.3%
2026-09-20,KT_TG,1021,90,931,8.8%,173,848,16.9%,308,713,30.2%,848,173,83.1%,34.7%
2026-09-20,KT_TI,1202,0,1202,0%,1196,6,99.5%,6,1196,0.5%,6,1196,0.5%,33.5%
2026-09-20,KT_UR,1058,472,586,44.6%,325,733,30.7%,464,594,43.9%,0,1058,0%,39.7%
2026-09-20,KT_ZH,1836,78,1758,4.2%,597,1239,32.5%,726,1110,39.5%,1731,105,94.3%,42.6%
2026-09-20,KT_VD,419,0,419,0%,202,217,48.2%,419,0,100.0%,0,419,0%,74.1%
2026-09-20,KT_FR,13,0,13,0%,13,0,100.0%,0,13,0%,0,13,0%,100.0%
2026-09-20,FL_LI,155,112,43,72.3%,150,5,96.8%,0,155,0%,153,2,98.7%,89.2%
2026-09-20,Geodienste,673,25,648,3.7%,670,3,99.6%,0,673,0%,643,30,95.5%,66.3%
2026-09-20,Bund,1580,857,723,54.2%,1580,0,100.0%,688,892,43.5%,1572,8,99.5%,74.3%
