DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2025-01-12,KT_AI,227,17,210,7.5%,227,0,100.0%,0,227,0%,227,0,100.0%,69.2%
2025-01-12,KT_AR,244,27,217,11.1%,244,0,100.0%,0,244,0%,244,0,100.0%,70.4%
2025-01-12,KT_AG,909,909,0,100.0%,909,0,100.0%,0,909,0%,0,909,0%,100.0%
2025-01-12,KT_BL,1379,0,1379,0%,197,1182,14.3%,7,1372,0.5%,0,1379,0%,7.4%
2025-01-12,KT_BS,2355,0,2355,0%,16,2339,0.7%,1052,1303,44.7%,1895,460,80.5%,41.9%
2025-01-12,KT_BE,1405,0,1405,0%,1362,43,96.9%,1300,105,92.5%,78,1327,5.6%,65.0%
2025-01-12,KT_GL,433,0,433,0%,0,433,0%,179,254,41.3%,0,433,0%,41.3%
2025-01-12,KT_GR,1957,1,1956,0.1%,317,1640,16.2%,0,1957,0%,1510,447,77.2%,31.1%
2025-01-12,KT_JU,1181,0,1181,0%,151,1030,12.8%,38,1143,3.2%,992,189,84.0%,33.3%
2025-01-12,KT_SG,678,0,678,0%,446,232,65.8%,135,543,19.9%,13,665,1.9%,29.2%
2025-01-12,KT_SH,205,183,22,89.3%,179,26,87.3%,0,205,0%,186,19,90.7%,89.1%
2025-01-12,KT_SO,704,0,704,0%,0,704,0%,182,522,25.9%,0,704,0%,25.9%
2025-01-12,KT_SZ,2016,0,2016,0%,1947,69,96.6%,10,2006,0.5%,1970,46,97.7%,64.9%
2025-01-12,KT_TG,1043,93,950,8.9%,177,866,17.0%,311,732,29.8%,866,177,83.0%,34.7%
2025-01-12,KT_TI,1396,0,1396,0%,1390,6,99.6%,6,1390,0.4%,6,1390,0.4%,33.5%
2025-01-12,KT_UR,820,356,464,43.4%,297,523,36.2%,358,462,43.7%,0,820,0%,41.1%
2025-01-12,KT_ZH,1950,84,1866,4.3%,517,1433,26.5%,642,1308,32.9%,1844,106,94.6%,39.6%
2025-01-12,KT_VD,384,0,384,0%,186,198,48.4%,384,0,100.0%,0,384,0%,74.2%
2025-01-12,KT_FR,713,0,713,0%,253,460,35.5%,0,713,0%,0,713,0%,35.5%
2025-01-12,FL_LI,137,105,32,76.6%,134,3,97.8%,0,137,0%,135,2,98.5%,91.0%
2025-01-12,Geodienste,662,26,636,3.9%,559,103,84.4%,0,662,0%,532,130,80.4%,56.2%
2025-01-12,Bund,1480,801,679,54.1%,1480,0,100.0%,647,833,43.7%,1474,6,99.6%,74.4%
